episode,survival_time,engagement,score,exploration_rate
547,0.016,0.1697852687754921,1,0.9511101304657719
548,0.016,0.16808741608773717,1,0.9511101304657719
549,0.016,0.1664065419268598,1,0.9511101304657719
550,0.016,0.1647424765075912,1,0.9511101304657719
551,0.016,0.1630950517425153,1,0.9511101304657719
552,0.016,0.16146410122509014,1,0.9511101304657719
553,0.016,0.15984946021283924,1,0.9511101304657719
554,0.016,0.30825096561071086,1,0.9511101304657719
555,0.016,0.5051684559546037,1,0.9511101304657719
556,0.016,0.7501167713950576,1,0.9511101304657719
557,0.016,1,1,0.9511101304657719
558,0.016,1,1,0.9511101304657719
559,0.016,1,1,0.9511101304657719
560,0.016,1,1,0.9511101304657719
561,0.016,1,1,0.9511101304657719
562,0.016,1,1,0.9511101304657719
563,0.016,1,1,0.9511101304657719
564,0.016,1,1,0.9511101304657719
565,0.016,1,1,0.9511101304657719
566,0.016,1,1,0.9511101304657719
567,0.016,1,1,0.9511101304657719
568,0.016,1,1,0.9511101304657719
569,0.016,1,1,0.9511101304657719
570,0.016,1,1,0.9511101304657719
571,0.016,1,1,0.9511101304657719
572,0.016,1,1,0.9511101304657719
573,0.016,1,1,0.9511101304657719
574,0.016,1,1,0.9511101304657719
575,0.016,1,1,0.9511101304657719
576,0.016,1,1,0.9511101304657719
577,0.016,1,1,0.9511101304657719
578,0.016,1,1,0.9511101304657719
579,0.016,1,1,0.9511101304657719
580,0.016,1,1,0.9511101304657719
581,0.016,1,1,0.9511101304657719
582,0.016,1,1,0.9511101304657719
583,0.016,1,1,0.9511101304657719
584,0.016,1,1,0.9511101304657719
585,0.016,1,1,0.9511101304657719
586,0.016,1,1,0.9511101304657719
587,0.016,1,1,0.9511101304657719
588,0.016,1,1,0.9511101304657719
589,0.016,1,1,0.9511101304657719
590,0.016,1,1,0.9511101304657719
591,0.016,1,1,0.9511101304657719
592,0.016,1,1,0.9511101304657719
593,0.016,1,1,0.9511101304657719
594,0.016,1,1,0.9511101304657719
595,0.016,1,1,0.9511101304657719
596,0.016,1,1,0.9511101304657719
597,0.016,1,1,0.9511101304657719
598,0.016,1,1,0.9511101304657719
599,0.016,1,1,0.9511101304657719
600,0.016,1,1,0.9511101304657719
601,0.016,1,1,0.9511101304657719
602,0.016,1,1,0.9511101304657719
603,0.016,1,1,0.9511101304657719
604,0.016,1,1,0.9511101304657719
605,0.016,1,1,0.9511101304657719
606,0.016,1,1,0.9511101304657719
607,0.016,1,1,0.9511101304657719
608,0.016,1,1,0.9511101304657719
609,0.016,1,1,0.9511101304657719
610,0.016,1,1,0.9511101304657719
611,0.016,1,1,0.9511101304657719
612,0.016,1,1,0.9511101304657719
613,0.016,1,1,0.9511101304657719
614,0.016,1,1,0.9511101304657719
615,0.016,1,1,0.9511101304657719
616,0.016,1,1,0.9511101304657719
617,0.016,1,1,0.9511101304657719
618,0.016,1,1,0.9511101304657719
619,51.47200000000026,1,26,0.9000874278732445
620,0.017,1,26,0.9000874278732445
621,0.017,1,26,0.9000874278732445
622,0.017,1,26,0.9000874278732445
623,0.017,1,26,0.9000874278732445
624,0.017,1,26,0.9000874278732445
625,0.017,1,26,0.9000874278732445
626,0.017,1,26,0.9000874278732445
627,0.017,1,26,0.9000874278732445
628,0.017,1,26,0.9000874278732445
629,0.017,1,26,0.9000874278732445
630,0.017,1,26,0.9000874278732445
631,0.017,1,26,0.9000874278732445
632,0.017,1,26,0.9000874278732445
633,0.017,1,26,0.9000874278732445
634,0.017,1,26,0.9000874278732445
635,0.017,1,26,0.9000874278732445
636,0.017,1,26,0.9000874278732445
637,0.017,1,26,0.9000874278732445
638,0.017,1,26,0.9000874278732445
639,0.017,1,26,0.9000874278732445
640,0.017,1,26,0.9000874278732445
641,0.017,1,26,0.9000874278732445
642,0.017,1,26,0.9000874278732445
643,0.017,1,26,0.9000874278732445
644,0.017,1,26,0.9000874278732445
645,0.017,1,26,0.9000874278732445
646,0.017,1,26,0.9000874278732445
647,0.017,1,26,0.9000874278732445
648,0.017,1,26,0.9000874278732445
649,0.017,1,26,0.9000874278732445
650,0.017,1,26,0.9000874278732445
651,0.017,1,26,0.9000874278732445
652,0.017,1,26,0.9000874278732445
653,0.017,1,26,0.9000874278732445
654,0.017,1,26,0.9000874278732445
655,0.017,1,26,0.9000874278732445
656,0.017,1,26,0.9000874278732445
657,0.017,1,26,0.9000874278732445
658,0.017,1,26,0.9000874278732445
659,0.017,1,26,0.9000874278732445
660,0.017,1,26,0.9000874278732445
661,0.017,1,26,0.9000874278732445
662,0.017,1,26,0.9000874278732445
663,0.017,1,26,0.9000874278732445
664,0.017,1,26,0.9000874278732445
665,0.017,1,26,0.9000874278732445
666,0.017,1,26,0.9000874278732445
667,0.017,1,26,0.9000874278732445
668,0.017,1,26,0.9000874278732445
669,0.017,1,26,0.9000874278732445
670,0.017,1,26,0.9000874278732445
671,0.017,1,26,0.9000874278732445
672,0.017,1,26,0.9000874278732445
673,0.017,1,26,0.9000874278732445
674,0.017,1,26,0.9000874278732445
675,0.017,1,26,0.9000874278732445
676,0.017,1,26,0.9000874278732445
677,0.017,1,26,0.9000874278732445
678,0.017,1,26,0.9000874278732445
679,0.017,1,26,0.9000874278732445
680,0.017,1,26,0.9000874278732445
681,0.017,1,26,0.9000874278732445
682,0.017,1,26,0.9000874278732445
683,0.017,1,26,0.9000874278732445
684,0.017,1,26,0.9000874278732445
685,0.017,1,26,0.9000874278732445
686,0.017,1,26,0.9000874278732445
687,0.017,1,26,0.9000874278732445
688,0.017,1,26,0.9000874278732445
689,0.017,1,26,0.9000874278732445
690,0.017,1,26,0.9000874278732445
691,0.017,1,26,0.9000874278732445
692,0.017,1,26,0.9000874278732445
693,0.017,1,26,0.9000874278732445
694,0.017,1,26,0.9000874278732445
695,0.017,1,26,0.9000874278732445
696,0.017,1,26,0.9000874278732445
697,0.017,1,26,0.9000874278732445
698,0.017,1,26,0.9000874278732445
699,0.017,1,26,0.9000874278732445
700,0.017,1,26,0.9000874278732445
701,0.017,1,26,0.9000874278732445
702,0.017,1,26,0.9000874278732445
703,0.017,1,26,0.9000874278732445
704,0.017,1,26,0.9000874278732445
705,0.017,1,26,0.9000874278732445
706,0.017,1,26,0.9000874278732445
707,0.017,1,26,0.9000874278732445
708,0.017,1,26,0.9000874278732445
709,0.017,1,26,0.9000874278732445
710,0.017,1,26,0.9000874278732445
711,0.017,1,26,0.9000874278732445
712,0.017,1,26,0.9000874278732445
713,0.017,1,26,0.9000874278732445
714,0.017,1,26,0.9000874278732445
715,0.017,1,26,0.9000874278732445
716,0.017,1,26,0.9000874278732445
717,0.017,1,26,0.9000874278732445
718,0.017,1,26,0.9000874278732445
719,0.017,1,26,0.9000874278732445
720,0.017,1,26,0.9000874278732445
721,0.017,1,26,0.9000874278732445
722,0.017,1,26,0.9000874278732445
723,0.017,1,26,0.9000874278732445
724,0.017,1,26,0.9000874278732445
725,0.017,1,26,0.9000874278732445
726,0.017,1,26,0.9000874278732445
727,0.017,1,26,0.9000874278732445
728,14.713999999999922,0.7350919179957662,4,0.8866535105013078
729,0.016,0.7277409988158086,4,0.8866535105013078
730,0.016,0.7204635888276505,4,0.8866535105013078
731,0.016,0.713258952939374,4,0.8866535105013078
732,0.016,0.7061263634099803,4,0.8866535105013078
733,0.016,0.7490650997758805,4,0.8866535105013078
734,0.016,0.8415744487781217,4,0.8866535105013078
735,0.016,0.9831587042903405,4,0.8866535105013078
736,0.016,1,4,0.8866535105013078
737,0.016,1,4,0.8866535105013078
738,0.016,1,4,0.8866535105013078
739,0.016,1,4,0.8866535105013078
740,0.016,1,4,0.8866535105013078
741,0.016,1,4,0.8866535105013078
742,0.016,1,4,0.8866535105013078
743,0.016,1,4,0.8866535105013078
744,0.016,1,4,0.8866535105013078
745,0.016,1,4,0.8866535105013078
746,0.016,1,4,0.8866535105013078
747,0.016,1,4,0.8866535105013078
748,0.016,1,4,0.8866535105013078
749,0.016,1,4,0.8866535105013078
750,0.016,1,4,0.8866535105013078
751,0.016,1,4,0.8866535105013078
752,0.016,1,4,0.8866535105013078
